dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003408,5.932500,0.003704,0.148148,2.962963,59.259259,0.000050
0.050000,0.014368,5.932502,0.014664,0.219202,1.421077,-30.837719,0.000212
0.050000,0.032636,5.932508,0.032931,0.365342,2.922810,30.034651,0.000482
0.050000,0.058210,5.932525,0.058506,0.511492,2.922984,0.003488,0.000859
0.050000,0.091093,5.932561,0.091388,0.657653,2.923228,0.004887,0.001342
0.050000,0.131284,5.932627,0.131580,0.803830,2.923543,0.006288,0.001931
0.050000,0.178785,5.932735,0.179081,0.950027,2.923927,0.007693,0.002625
0.050000,0.233597,5.932901,0.233893,1.096246,2.924383,0.009103,0.003422
0.050000,0.295722,5.933141,0.296018,1.242491,2.924908,0.010518,0.004321
0.050000,0.365159,5.933476,0.365456,1.388766,2.925505,0.011939,0.005320
0.050000,0.441911,5.933927,0.442210,1.535075,2.926174,0.013366,0.006418
0.050000,0.525980,5.934517,0.526281,1.681421,2.926914,0.014800,0.007613
0.050000,0.617368,5.935271,0.617671,1.827807,2.927726,0.016241,0.008902
0.050000,0.716075,5.936218,0.716383,1.974238,2.928610,0.017689,0.010284
0.050000,0.822104,5.937387,0.822419,2.120716,2.929567,0.019144,0.011755
0.050000,0.935458,5.938808,0.935781,2.267246,2.930598,0.020607,0.013312
0.050000,1.056137,5.940514,1.056473,2.413831,2.931702,0.022076,0.014954
0.050000,1.184145,5.942539,1.184497,2.560475,2.932879,0.023553,0.016676
0.050000,1.319483,5.944918,1.319856,2.707181,2.934131,0.025036,0.018475
0.050000,1.462154,5.947688,1.462553,2.853954,2.935457,0.026525,0.020349
0.050000,1.612160,5.950887,1.612593,3.000797,2.936858,0.028020,0.022292
0.050000,1.769503,5.954553,1.769979,3.147714,2.938334,0.029519,0.024301
0.050000,1.934185,5.958727,1.934714,3.294708,2.939885,0.031022,0.026372
0.050000,2.106210,5.963449,2.106804,3.441784,2.941512,0.032527,0.028500
0.050000,2.285578,5.968758,2.286251,3.588944,2.943213,0.034035,0.030682
0.050000,2.472294,5.974698,2.473060,3.736194,2.944991,0.035544,0.032911
0.050000,2.666358,5.981309,2.667237,3.883536,2.946843,0.037052,0.035184
0.050000,2.864111,5.988495,2.865121,3.957676,1.482801,-29.280846,0.037454
0.050000,3.061891,5.996127,3.063049,3.958551,0.017501,-29.306005,0.039676
0.050000,3.259698,6.004195,3.261020,3.959427,0.017521,0.000417,0.041852
0.050000,3.457531,6.012692,3.459035,3.960304,0.017541,0.000382,0.043980
0.050000,3.655390,6.021606,3.657094,3.961182,0.017558,0.000348,0.046061
0.050000,3.853273,6.030930,3.855197,3.962061,0.017574,0.000315,0.048096
0.050000,4.051181,6.040654,4.053344,3.962940,0.017588,0.000285,0.050083
0.050000,4.249114,6.050768,4.251535,3.963820,0.017601,0.000256,0.052023
