dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003502,4.067500,0.003704,0.148148,2.962963,59.259259,0.000050
0.050000,0.014764,4.067502,0.014966,0.225242,1.541886,-28.421540,0.000212
0.050000,0.033534,4.067508,0.033736,0.375398,3.003116,29.224608,0.000482
0.050000,0.059812,4.067526,0.060013,0.525545,3.002942,-0.003489,0.000859
0.050000,0.093596,4.067563,0.093797,0.675680,3.002697,-0.004888,0.001342
0.050000,0.134885,4.067630,0.135087,0.825799,3.002383,-0.006290,0.001931
0.050000,0.183680,4.067742,0.183882,0.975899,3.001998,-0.007695,0.002625
0.050000,0.239979,4.067912,0.240181,1.125976,3.001543,-0.009105,0.003422
0.050000,0.303780,4.068159,0.303982,1.276027,3.001017,-0.010521,0.004321
0.050000,0.375081,4.068503,0.375285,1.426048,3.000420,-0.011941,0.005320
0.050000,0.453882,4.068965,0.454086,1.576036,2.999751,-0.013369,0.006418
0.050000,0.540179,4.069571,0.540386,1.725986,2.999011,-0.014803,0.007613
0.050000,0.633971,4.070345,0.634180,1.875896,2.998199,-0.016244,0.008902
0.050000,0.735254,4.071317,0.735469,2.025762,2.997315,-0.017692,0.010284
0.050000,0.844026,4.072516,0.844248,2.175580,2.996357,-0.019147,0.011755
0.050000,0.960285,4.073973,0.960515,2.325346,2.995327,-0.020610,0.013312
0.050000,1.084025,4.075722,1.084268,2.475057,2.994223,-0.022079,0.014954
0.050000,1.215244,4.077798,1.215503,2.624710,2.993045,-0.023556,0.016676
0.050000,1.353938,4.080236,1.354218,2.774299,2.991793,-0.025039,0.018475
0.050000,1.500101,4.083074,1.500409,2.923823,2.990467,-0.026528,0.020349
0.050000,1.653730,4.086350,1.654073,3.073276,2.989065,-0.028022,0.022292
0.050000,1.814819,4.090104,1.815206,3.222655,2.987589,-0.029521,0.024301
0.050000,1.983363,4.094376,1.983804,3.371957,2.986038,-0.031023,0.026372
0.050000,2.159356,4.099206,2.159863,3.521178,2.984412,-0.032529,0.028500
0.050000,2.342791,4.104636,2.343378,3.670313,2.982710,-0.034036,0.030682
0.050000,2.533662,4.110708,2.534346,3.819360,2.980933,-0.035544,0.032911
0.050000,2.731963,4.117463,2.732762,3.968314,2.979080,-0.037052,0.035184
0.050000,2.933946,4.124803,2.934878,4.042322,1.480162,-29.978373,0.037454
0.050000,3.135868,4.132595,3.136951,4.041447,-0.017499,-29.953215,0.039676
0.050000,3.337729,4.140829,3.338979,4.040571,-0.017520,-0.000418,0.041852
0.050000,3.539527,4.149495,3.540964,4.039694,-0.017539,-0.000382,0.043980
0.050000,3.741263,4.158584,3.742905,4.038816,-0.017557,-0.000348,0.046061
0.050000,3.942937,4.168086,3.944802,4.037938,-0.017572,-0.000316,0.048096
0.050000,4.144546,4.177992,4.146654,4.037058,-0.017587,-0.000285,0.050083
0.050000,4.346092,4.188291,4.348463,4.036178,-0.017599,-0.000256,0.052023
0.050000,4.547574,4.198974,4.550228,4.035298,-0.017611,-0.000229,0.053915
0.050000,4.748992,4.210031,4.751949,4.034417,-0.017621,-0.000203,0.055761
0.050000,4.950345,4.221453,4.953626,4.033535,-0.017630,-0.000178,0.057559
0.050000,5.151633,4.233229,5.155259,4.032653,-0.017638,-0.000155,0.059310
0.050000,5.352857,4.245351,5.356847,4.031771,-0.017644,-0.000134,0.061013
0.050000,5.554016,4.257807,5.558392,4.030889,-0.017650,-0.000113,0.062670
0.050000,5.755111,4.270590,5.759892,4.030006,-0.017655,-0.000094,0.064278
0.050000,5.956141,4.283688,5.961348,4.029123,-0.017659,-0.000077,0.065840
0.050000,6.157106,4.297092,6.162760,4.028240,-0.017662,-0.000061,0.067354
0.050000,6.358007,4.310793,6.364128,4.027357,-0.017664,-0.000046,0.068821
0.050000,6.558844,4.324781,6.565452,4.026474,-0.017666,-0.000032,0.070241
0.050000,6.759618,4.339046,6.766731,4.025590,-0.017666,-0.000019,0.071613
0.050000,6.960328,4.353578,6.967966,4.024707,-0.017667,-0.000008,0.072938
0.050000,7.160975,4.368368,7.169158,4.023824,-0.017667,0.000002,0.074215
0.050000,7.361559,4.383407,7.370305,4.022940,-0.017666,0.000012,0.075445
0.050000,7.562080,4.398684,7.571407,4.022057,-0.017665,0.000020,0.076628
0.050000,7.762540,4.414190,7.772466,4.021174,-0.017664,0.000027,0.077763
0.050000,7.962939,4.429916,7.973481,4.020291,-0.017662,0.000034,0.078851
0.050000,8.163276,4.445851,8.174451,4.019408,-0.017660,0.000039,0.079892
0.050000,8.363554,4.461987,8.375377,4.018525,-0.017658,0.000044,0.080885
0.050000,8.563771,4.478313,8.576259,4.017642,-0.017656,0.000047,0.081831
0.050000,8.763930,4.494820,8.777097,4.016759,-0.017653,0.000050,0.082730
0.050000,8.964030,4.511499,8.977891,4.015877,-0.017650,0.000052,0.083581
0.050000,9.164072,4.528339,9.178641,4.014994,-0.017648,0.000054,0.084385
0.050000,9.364057,4.545332,9.379346,4.014112,-0.017645,0.000055,0.085142
0.050000,9.563985,4.562468,9.580008,4.013230,-0.017642,0.000055,0.085851
0.050000,9.763858,4.579737,9.780625,4.012348,-0.017640,0.000054,0.086513
0.050000,9.963676,4.597129,9.981199,4.011466,-0.017637,0.000053,0.087128
0.050000,10.163439,4.614637,10.181728,4.010584,-0.017634,0.000051,0.087695
0.050000,10.363149,4.632248,10.382213,4.009703,-0.017632,0.000049,0.088216
0.050000,10.562807,4.649956,10.582654,4.008821,-0.017630,0.000047,0.088689
0.050000,10.762412,4.667748,10.783051,4.007940,-0.017627,0.000044,0.089114
0.050000,10.961967,4.685618,10.983404,4.007059,-0.017625,0.000041,0.089493
0.050000,11.161471,4.703554,11.183713,4.006178,-0.017624,0.000037,0.089824
0.050000,11.360926,4.721547,11.383978,4.005297,-0.017622,0.000033,0.090108
0.050000,11.560332,4.739589,11.584199,4.004415,-0.017620,0.000029,0.090345
0.050000,11.759691,4.757669,11.784375,4.003535,-0.017619,0.000024,0.090534
0.050000,11.959002,4.775778,11.984508,4.002654,-0.017618,0.000020,0.090677
0.050000,12.158268,4.793907,12.184597,4.001773,-0.017618,0.000015,0.090772
0.050000,12.357489,4.812046,12.384641,4.000892,-0.017617,0.000010,0.090820
0.050000,12.556665,4.830186,12.584642,4.000011,-0.017617,0.000005,0.090820
0.050000,12.755798,4.848317,12.784598,3.999130,-0.017617,-0.000000,0.090774
0.050000,12.954888,4.866430,12.984511,3.998249,-0.017617,-0.000005,0.090680
0.050000,13.153936,4.884516,13.184379,3.997368,-0.017618,-0.000010,0.090539
0.050000,13.352944,4.902565,13.384204,3.996488,-0.017618,-0.000015,0.090350
0.050000,13.551911,4.920568,13.583984,3.995607,-0.017619,-0.000020,0.090115
0.050000,13.750840,4.938516,13.783720,3.994726,-0.017621,-0.000025,0.089832
0.050000,13.949729,4.956398,13.983412,3.993844,-0.017622,-0.000029,0.089502
0.050000,14.148582,4.974207,14.183061,3.992963,-0.017624,-0.000033,0.089124
0.050000,14.347397,4.991931,14.382665,3.992082,-0.017626,-0.000037,0.088700
0.050000,14.546177,5.009563,14.582225,3.991201,-0.017628,-0.000041,0.088228
0.050000,14.744921,5.027092,14.781741,3.990319,-0.017630,-0.000044,0.087709
0.050000,14.943631,5.044510,14.981212,3.989437,-0.017632,-0.000047,0.087143
0.050000,15.142308,5.061806,15.180640,3.988556,-0.017635,-0.000050,0.086529
0.050000,15.340951,5.078972,15.380024,3.987674,-0.017637,-0.000052,0.085868
0.050000,15.539562,5.095999,15.579364,3.986792,-0.017640,-0.000054,0.085160
0.050000,15.738142,5.112876,15.778659,3.985910,-0.017643,-0.000055,0.084404
0.050000,15.936690,5.129595,15.977910,3.985027,-0.017645,-0.000055,0.083602
0.050000,16.135209,5.146146,16.177118,3.984145,-0.017648,-0.000055,0.082751
0.050000,16.333698,5.162520,16.376281,3.983263,-0.017651,-0.000054,0.081854
0.050000,16.532158,5.178707,16.575400,3.982380,-0.017654,-0.000053,0.080909
0.050000,16.730589,5.194699,16.774475,3.981497,-0.017656,-0.000051,0.079917
0.050000,16.928993,5.210486,16.973505,3.980614,-0.017659,-0.000048,0.078878
0.050000,17.127369,5.226058,17.172492,3.979731,-0.017661,-0.000044,0.077791
